	              {              	;              	#              	*              	Epsilon        	id             	void           	(              	)              	/              	int            	double         	,              	=              	}              	return         	while          	if             	else           	<              	<=             	>              	>=             	==             	!=             	+              	-              	num            	<Program>      	<GlobalDef>    	<GlobalDefList>	<Params>       	<FuncType>     	<Factor>       	<Block>        	<DefList>      	<Def>          	<StateList>    	<Item>         	<State>        	<Exp>          	<Assign>       	<Tmp3>         	<return>       	<while>        	<if>           	<relop>        	<AddSubExp>    	<Tmp4>         	<Tmp5>         	<call>         	<Args>         	
I62            	               	               	               	s96            	               	               	               	               	r45            	s97            	               	               	r45            	               	               	               	               	               	               	r45            	r45            	r45            	r45            	r45            	r45            	r45            	r45            	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	98             	               	               	
I63            	               	               	               	               	               	               	               	               	r41            	               	               	               	r41            	               	               	               	               	               	               	r41            	r41            	r41            	r41            	r41            	r41            	s99            	s100           	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	101            	               	               	               	
I64            	               	               	               	               	               	               	               	               	r52            	               	               	               	s102           	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	
I65            	               	               	               	               	               	               	               	               	r31            	               	               	               	r31            	               	               	               	               	               	               	s84            	s85            	s86            	s87            	s88            	s89            	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	103            	               	               	               	104            	               	               	               	               	               	
I66            	               	               	               	r49            	               	               	               	               	r49            	r49            	               	               	r49            	               	               	               	               	               	               	r49            	r49            	r49            	r49            	r49            	r49            	r49            	r49            	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	
I67            	               	               	               	               	               	               	               	               	s105           	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	
I68            	               	r23            	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	
I69            	               	               	               	               	               	s59            	               	s60            	r53            	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	s61            	               	               	               	               	               	62             	               	               	               	               	63             	               	64             	               	               	               	               	               	               	65             	               	               	66             	106            	
I70            	               	               	               	r48            	               	               	               	s107           	r48            	r48            	               	               	               	               	               	               	               	               	               	r48            	r48            	r48            	r48            	r48            	r48            	r48            	r48            	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	
I71            	               	               	               	               	               	s70            	               	s71            	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	s72            	               	               	               	               	               	73             	               	               	               	               	74             	               	108            	               	               	               	               	               	               	76             	               	               	77             	               	
I72            	               	               	               	r46            	               	               	               	               	r46            	r46            	               	               	               	               	               	               	               	               	               	r46            	r46            	r46            	r46            	r46            	r46            	r46            	r46            	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	               	
